assessment_id,user_id,user_name,department,competency_id,competency_name,domain,score,total_questions,correct_answers,difficulty_level,gap_level,time_taken_sec,assessment_date
1,2,Kavita Kumar,CSO,7,Labour Statistics,Statistics,53.8,9,2,intermediate,moderate,416,2026-07-30
2,2,Kavita Kumar,CSO,3,Sampling Techniques,Statistics,17.6,9,1,beginner,critical,345,2026-03-16
3,2,Kavita Kumar,CSO,18,Digital Signatures,Digital Governance,55.4,7,3,advanced,moderate,783,2026-08-28
4,2,Kavita Kumar,CSO,22,Change Management,Behavioural,41.9,6,2,beginner,critical,379,2026-05-17
5,2,Kavita Kumar,CSO,19,Leadership,Behavioural,19.6,8,1,intermediate,critical,1171,2026-04-03
6,2,Kavita Kumar,CSO,8,SDG Indicators,Statistics,44.1,5,3,advanced,critical,573,2026-03-28
7,2,Kavita Kumar,CSO,11,SQL & Databases,Technical,79.3,10,7,intermediate,minor,1058,2026-03-21
8,3,Anita Pillai,Ministry of Statistics & PI,2,Survey Design,Statistics,53.9,8,5,beginner,moderate,1124,2026-05-11
9,3,Anita Pillai,Ministry of Statistics & PI,16,Cybersecurity,Digital Governance,52.0,9,3,beginner,moderate,378,2026-06-23
10,3,Anita Pillai,Ministry of Statistics & PI,13,Data Visualization,Technical,48.7,9,4,advanced,critical,785,2026-05-27
11,4,Mukesh Reddy,NITI Aayog,17,Data Privacy & PDPB,Digital Governance,97.1,9,9,beginner,proficient,1000,2026-05-09
12,4,Mukesh Reddy,NITI Aayog,10,R Programming,Technical,60.5,6,4,intermediate,moderate,1048,2026-05-22
13,4,Mukesh Reddy,NITI Aayog,15,Cloud Computing,Technical,74.4,8,5,advanced,minor,642,2026-05-29
14,4,Mukesh Reddy,NITI Aayog,22,Change Management,Behavioural,85.5,6,8,intermediate,proficient,257,2026-08-09
15,4,Mukesh Reddy,NITI Aayog,14,Machine Learning Basics,Technical,85.3,5,8,advanced,proficient,883,2026-07-30
16,4,Mukesh Reddy,NITI Aayog,4,Data Analysis,Statistics,74.5,9,3,advanced,minor,795,2026-03-14
17,4,Mukesh Reddy,NITI Aayog,19,Leadership,Behavioural,93.5,10,7,advanced,proficient,225,2026-06-20
18,5,Harish Pillai,Ministry of Statistics & PI,10,R Programming,Technical,93.1,10,7,beginner,proficient,341,2026-06-04
19,5,Harish Pillai,Ministry of Statistics & PI,12,GIS & Mapping,Technical,91.1,7,8,beginner,proficient,998,2026-04-11
20,5,Harish Pillai,Ministry of Statistics & PI,4,Data Analysis,Statistics,67.2,9,6,advanced,moderate,173,2026-03-30
21,5,Harish Pillai,Ministry of Statistics & PI,19,Leadership,Behavioural,100.0,7,5,beginner,proficient,679,2026-03-06
22,5,Harish Pillai,Ministry of Statistics & PI,17,Data Privacy & PDPB,Digital Governance,66.8,7,4,intermediate,moderate,132,2026-07-17
23,5,Harish Pillai,Ministry of Statistics & PI,7,Labour Statistics,Statistics,97.3,8,4,beginner,proficient,182,2026-08-09
24,5,Harish Pillai,Ministry of Statistics & PI,5,National Accounts,Statistics,64.4,10,5,beginner,moderate,890,2026-05-17
25,6,Geeta Patel,CRS,11,SQL & Databases,Technical,53.2,9,2,advanced,moderate,287,2026-06-24
26,6,Geeta Patel,CRS,6,Price Statistics,Statistics,38.4,8,3,intermediate,critical,1114,2026-03-30
27,6,Geeta Patel,CRS,12,GIS & Mapping,Technical,32.0,9,1,intermediate,critical,1000,2026-08-04
28,6,Geeta Patel,CRS,10,R Programming,Technical,50.5,7,5,advanced,moderate,1116,2026-04-20
29,6,Geeta Patel,CRS,22,Change Management,Behavioural,42.7,8,3,beginner,critical,135,2026-07-11
30,6,Geeta Patel,CRS,3,Sampling Techniques,Statistics,40.6,7,2,beginner,critical,643,2026-06-19
31,7,Ramesh Agarwal,MOSPI Field Operations,4,Data Analysis,Statistics,98.5,6,8,advanced,proficient,845,2026-08-14
32,7,Ramesh Agarwal,MOSPI Field Operations,1,Statistical Methods,Statistics,99.3,8,9,beginner,proficient,1013,2026-08-28
33,7,Ramesh Agarwal,MOSPI Field Operations,16,Cybersecurity,Digital Governance,76.2,7,6,intermediate,minor,948,2026-03-22
34,7,Ramesh Agarwal,MOSPI Field Operations,14,Machine Learning Basics,Technical,85.0,8,5,beginner,proficient,949,2026-08-27
35,7,Ramesh Agarwal,MOSPI Field Operations,6,Price Statistics,Statistics,94.0,9,7,advanced,proficient,861,2026-08-10
36,8,Kavita Saxena,NITI Aayog,4,Data Analysis,Statistics,82.7,5,6,intermediate,minor,815,2026-07-07
37,8,Kavita Saxena,NITI Aayog,8,SDG Indicators,Statistics,79.6,9,7,beginner,minor,1164,2026-07-14
38,8,Kavita Saxena,NITI Aayog,14,Machine Learning Basics,Technical,94.5,7,6,advanced,proficient,422,2026-07-03
39,8,Kavita Saxena,NITI Aayog,19,Leadership,Behavioural,96.1,6,8,beginner,proficient,274,2026-07-18
40,8,Kavita Saxena,NITI Aayog,13,Data Visualization,Technical,93.3,10,7,intermediate,proficient,1039,2026-03-11
41,8,Kavita Saxena,NITI Aayog,17,Data Privacy & PDPB,Digital Governance,100.0,10,9,intermediate,proficient,767,2026-07-25
42,9,Vikram Sharma,CSO,3,Sampling Techniques,Statistics,34.8,7,3,beginner,critical,755,2026-05-06
43,9,Vikram Sharma,CSO,16,Cybersecurity,Digital Governance,39.5,7,1,advanced,critical,304,2026-03-28
44,9,Vikram Sharma,CSO,15,Cloud Computing,Technical,47.2,9,4,intermediate,critical,1067,2026-04-06
45,9,Vikram Sharma,CSO,10,R Programming,Technical,15.3,5,1,advanced,critical,505,2026-06-11
46,9,Vikram Sharma,CSO,9,Python Programming,Technical,34.7,9,2,advanced,critical,428,2026-08-17
47,9,Vikram Sharma,CSO,2,Survey Design,Statistics,14.1,7,1,beginner,critical,1153,2026-03-20
48,10,Naresh Joshi,CRS,2,Survey Design,Statistics,71.7,9,6,beginner,minor,865,2026-05-29
49,10,Naresh Joshi,CRS,8,SDG Indicators,Statistics,77.1,7,7,advanced,minor,227,2026-03-24
50,10,Naresh Joshi,CRS,15,Cloud Computing,Technical,52.8,10,3,beginner,moderate,795,2026-08-08
51,10,Naresh Joshi,CRS,17,Data Privacy & PDPB,Digital Governance,45.0,7,4,advanced,critical,427,2026-06-08
52,11,Geeta Singh,NSSTA,19,Leadership,Behavioural,76.9,7,5,advanced,minor,922,2026-07-30
53,11,Geeta Singh,NSSTA,22,Change Management,Behavioural,48.1,7,4,intermediate,critical,792,2026-07-31
54,11,Geeta Singh,NSSTA,5,National Accounts,Statistics,59.3,10,5,advanced,moderate,1198,2026-08-09
55,12,Pushpa Saxena,NITI Aayog,22,Change Management,Behavioural,95.3,8,5,beginner,proficient,401,2026-07-24
56,12,Pushpa Saxena,NITI Aayog,14,Machine Learning Basics,Technical,74.6,5,5,beginner,minor,1159,2026-04-16
57,12,Pushpa Saxena,NITI Aayog,17,Data Privacy & PDPB,Digital Governance,98.6,5,9,intermediate,proficient,388,2026-04-02
58,12,Pushpa Saxena,NITI Aayog,12,GIS & Mapping,Technical,47.5,8,2,beginner,critical,490,2026-03-08
59,12,Pushpa Saxena,NITI Aayog,1,Statistical Methods,Statistics,83.9,6,8,intermediate,minor,209,2026-05-19
60,12,Pushpa Saxena,NITI Aayog,19,Leadership,Behavioural,47.1,7,4,advanced,critical,606,2026-05-11
61,12,Pushpa Saxena,NITI Aayog,10,R Programming,Technical,56.5,8,3,advanced,moderate,609,2026-06-14
62,12,Pushpa Saxena,NITI Aayog,3,Sampling Techniques,Statistics,60.3,8,3,intermediate,moderate,1022,2026-05-06
63,13,Sanjay Sharma,DGET,13,Data Visualization,Technical,48.5,7,2,advanced,critical,1104,2026-05-29
64,13,Sanjay Sharma,DGET,17,Data Privacy & PDPB,Digital Governance,36.1,9,1,advanced,critical,1176,2026-08-01
65,13,Sanjay Sharma,DGET,14,Machine Learning Basics,Technical,38.7,7,3,advanced,critical,421,2026-05-13
66,13,Sanjay Sharma,DGET,6,Price Statistics,Statistics,75.2,5,4,intermediate,minor,835,2026-08-26
67,13,Sanjay Sharma,DGET,7,Labour Statistics,Statistics,29.8,7,1,intermediate,critical,287,2026-05-29
68,14,Vinod Mishra,Ministry of Finance,1,Statistical Methods,Statistics,94.2,7,5,beginner,proficient,198,2026-06-20
69,14,Vinod Mishra,Ministry of Finance,11,SQL & Databases,Technical,100.0,6,10,intermediate,proficient,1038,2026-03-28
70,14,Vinod Mishra,Ministry of Finance,4,Data Analysis,Statistics,74.9,5,3,beginner,minor,644,2026-07-08
71,14,Vinod Mishra,Ministry of Finance,21,Communication Skills,Behavioural,96.6,10,8,advanced,proficient,986,2026-08-04
72,15,Manoj Patel,NITI Aayog,8,SDG Indicators,Statistics,36.7,10,3,intermediate,critical,248,2026-08-04
73,15,Manoj Patel,NITI Aayog,10,R Programming,Technical,67.2,9,3,advanced,moderate,1175,2026-04-07
74,15,Manoj Patel,NITI Aayog,4,Data Analysis,Statistics,38.1,6,3,beginner,critical,716,2026-05-15
75,15,Manoj Patel,NITI Aayog,2,Survey Design,Statistics,73.0,9,5,beginner,minor,295,2026-04-20
76,15,Manoj Patel,NITI Aayog,14,Machine Learning Basics,Technical,56.4,7,2,advanced,moderate,1159,2026-04-25
77,16,Lata Yadav,NITI Aayog,1,Statistical Methods,Statistics,45.1,5,3,beginner,critical,332,2026-04-06
78,16,Lata Yadav,NITI Aayog,13,Data Visualization,Technical,28.5,10,1,beginner,critical,210,2026-06-03
79,16,Lata Yadav,NITI Aayog,16,Cybersecurity,Digital Governance,13.8,6,1,intermediate,critical,1100,2026-03-24
80,16,Lata Yadav,NITI Aayog,2,Survey Design,Statistics,36.0,6,2,beginner,critical,1057,2026-08-23
81,16,Lata Yadav,NITI Aayog,21,Communication Skills,Behavioural,43.9,6,2,intermediate,critical,755,2026-04-23
