user_id,user_name,department,competency_id,competency_name,domain,latest_score,gap_level,priority,last_assessed
2,Kavita Kumar,CSO,3,Sampling Techniques,Statistics,17.6,critical,1,2026-03-16
2,Kavita Kumar,CSO,7,Labour Statistics,Statistics,53.8,moderate,2,2026-07-30
2,Kavita Kumar,CSO,8,SDG Indicators,Statistics,44.1,critical,1,2026-03-28
2,Kavita Kumar,CSO,11,SQL & Databases,Technical,79.3,minor,3,2026-03-21
2,Kavita Kumar,CSO,18,Digital Signatures,Digital Governance,55.4,moderate,2,2026-08-28
2,Kavita Kumar,CSO,19,Leadership,Behavioural,19.6,critical,1,2026-04-03
2,Kavita Kumar,CSO,22,Change Management,Behavioural,41.9,critical,1,2026-05-17
3,Anita Pillai,Ministry of Statistics & PI,2,Survey Design,Statistics,53.9,moderate,2,2026-05-11
3,Anita Pillai,Ministry of Statistics & PI,13,Data Visualization,Technical,48.7,critical,1,2026-05-27
3,Anita Pillai,Ministry of Statistics & PI,16,Cybersecurity,Digital Governance,52.0,moderate,2,2026-06-23
4,Mukesh Reddy,NITI Aayog,4,Data Analysis,Statistics,74.5,minor,3,2026-03-14
4,Mukesh Reddy,NITI Aayog,10,R Programming,Technical,60.5,moderate,2,2026-05-22
4,Mukesh Reddy,NITI Aayog,14,Machine Learning Basics,Technical,85.3,proficient,4,2026-07-30
4,Mukesh Reddy,NITI Aayog,15,Cloud Computing,Technical,74.4,minor,3,2026-05-29
4,Mukesh Reddy,NITI Aayog,17,Data Privacy & PDPB,Digital Governance,97.1,proficient,4,2026-05-09
4,Mukesh Reddy,NITI Aayog,19,Leadership,Behavioural,93.5,proficient,4,2026-06-20
4,Mukesh Reddy,NITI Aayog,22,Change Management,Behavioural,85.5,proficient,4,2026-08-09
5,Harish Pillai,Ministry of Statistics & PI,4,Data Analysis,Statistics,67.2,moderate,2,2026-03-30
5,Harish Pillai,Ministry of Statistics & PI,5,National Accounts,Statistics,64.4,moderate,2,2026-05-17
5,Harish Pillai,Ministry of Statistics & PI,7,Labour Statistics,Statistics,97.3,proficient,4,2026-08-09
5,Harish Pillai,Ministry of Statistics & PI,10,R Programming,Technical,93.1,proficient,4,2026-06-04
5,Harish Pillai,Ministry of Statistics & PI,12,GIS & Mapping,Technical,91.1,proficient,4,2026-04-11
5,Harish Pillai,Ministry of Statistics & PI,17,Data Privacy & PDPB,Digital Governance,66.8,moderate,2,2026-07-17
5,Harish Pillai,Ministry of Statistics & PI,19,Leadership,Behavioural,100.0,proficient,4,2026-03-06
6,Geeta Patel,CRS,3,Sampling Techniques,Statistics,40.6,critical,1,2026-06-19
6,Geeta Patel,CRS,6,Price Statistics,Statistics,38.4,critical,1,2026-03-30
6,Geeta Patel,CRS,10,R Programming,Technical,50.5,moderate,2,2026-04-20
6,Geeta Patel,CRS,11,SQL & Databases,Technical,53.2,moderate,2,2026-06-24
6,Geeta Patel,CRS,12,GIS & Mapping,Technical,32.0,critical,1,2026-08-04
6,Geeta Patel,CRS,22,Change Management,Behavioural,42.7,critical,1,2026-07-11
7,Ramesh Agarwal,MOSPI Field Operations,1,Statistical Methods,Statistics,99.3,proficient,4,2026-08-28
7,Ramesh Agarwal,MOSPI Field Operations,4,Data Analysis,Statistics,98.5,proficient,4,2026-08-14
7,Ramesh Agarwal,MOSPI Field Operations,6,Price Statistics,Statistics,94.0,proficient,4,2026-08-10
7,Ramesh Agarwal,MOSPI Field Operations,14,Machine Learning Basics,Technical,85.0,proficient,4,2026-08-27
