enrollment_id,user_id,user_name,department,course_id,course_title,competency_name,difficulty,duration_hours,status,progress_pct,igot_course_id,enrolled_date,completed_date
1,2,Kavita Kumar,CSO,59,PMP for Government Projects,Project Management,intermediate,6.9,completed,100.0,IGOT-20-059,2026-08-11,2026-08-20
2,2,Kavita Kumar,CSO,4,Fundamentals of Survey Design,Survey Design,beginner,7.8,in_progress,65.9,IGOT-02-004,2026-07-01,
3,2,Kavita Kumar,CSO,62,Presentation & Report Writing,Communication Skills,intermediate,5.9,completed,100.0,IGOT-21-062,2026-05-15,2026-08-21
4,2,Kavita Kumar,CSO,15,Advanced National Accounts,National Accounts,advanced,5.8,completed,100.0,IGOT-05-015,2026-04-13,2026-09-01
5,3,Anita Pillai,Ministry of Statistics & PI,34,Introduction to GIS,GIS & Mapping,beginner,6.3,completed,100.0,IGOT-12-034,2026-08-09,2026-08-15
6,3,Anita Pillai,Ministry of Statistics & PI,32,Intermediate SQL & Database Design,SQL & Databases,intermediate,7.8,in_progress,47.9,IGOT-11-032,2026-05-30,
7,3,Anita Pillai,Ministry of Statistics & PI,37,Data Visualization Basics,Data Visualization,beginner,5.8,in_progress,85.5,IGOT-13-037,2026-06-21,
8,3,Anita Pillai,Ministry of Statistics & PI,6,Advanced Survey Methodology,Survey Design,advanced,4.5,in_progress,90.2,IGOT-02-006,2026-03-07,
9,3,Anita Pillai,Ministry of Statistics & PI,26,Python for Data Analysis,Python Programming,intermediate,3.1,in_progress,49.9,IGOT-09-026,2026-07-08,
10,3,Anita Pillai,Ministry of Statistics & PI,44,Government Cloud Platforms,Cloud Computing,intermediate,7.9,in_progress,71.2,IGOT-15-044,2026-06-22,
11,3,Anita Pillai,Ministry of Statistics & PI,48,Advanced Cyber Defence,Cybersecurity,advanced,6.8,in_progress,25.6,IGOT-16-048,2026-06-26,
12,4,Mukesh Reddy,NITI Aayog,46,Cybersecurity Awareness,Cybersecurity,beginner,4.2,completed,100.0,IGOT-16-046,2026-03-24,2026-09-01
13,4,Mukesh Reddy,NITI Aayog,20,Employment & Unemployment Indicators,Labour Statistics,intermediate,5.7,completed,100.0,IGOT-07-020,2026-08-18,2026-08-05
14,4,Mukesh Reddy,NITI Aayog,14,GDP Compilation Methodology,National Accounts,intermediate,5.1,completed,100.0,IGOT-05-014,2026-05-25,2026-08-13
15,4,Mukesh Reddy,NITI Aayog,8,Stratified & Cluster Sampling,Sampling Techniques,intermediate,6.7,completed,100.0,IGOT-03-008,2026-04-24,2026-08-04
16,4,Mukesh Reddy,NITI Aayog,59,PMP for Government Projects,Project Management,intermediate,6.9,completed,100.0,IGOT-20-059,2026-06-19,2026-08-17
17,4,Mukesh Reddy,NITI Aayog,6,Advanced Survey Methodology,Survey Design,advanced,4.5,in_progress,93.6,IGOT-02-006,2026-04-20,
18,5,Harish Pillai,Ministry of Statistics & PI,51,Advanced Data Governance,Data Privacy & PDPB,advanced,7.5,completed,100.0,IGOT-17-051,2026-05-12,2026-08-17
19,5,Harish Pillai,Ministry of Statistics & PI,29,Statistical Analysis with R,R Programming,intermediate,4.0,completed,100.0,IGOT-10-029,2026-08-20,2026-08-16
20,5,Harish Pillai,Ministry of Statistics & PI,17,Price Index Methods,Price Statistics,intermediate,6.0,completed,100.0,IGOT-06-017,2026-05-20,2026-08-05
21,5,Harish Pillai,Ministry of Statistics & PI,7,Probability Sampling Basics,Sampling Techniques,beginner,3.7,in_progress,46.1,IGOT-03-007,2026-07-29,
