user_id,name,email,role,department,designation,experience_years,education,joined_date
1,Admin User,admin@karmayog.gov.in,admin,Ministry of Statistics & PI,Director,15,M.Stat,2024-01-01
2,Kavita Kumar,kavita.kumar45@gov.in,employee,CSO,Director,5,M.Stat,2023-07-14
3,Anita Pillai,anita.pillai64@gov.in,employee,Ministry of Statistics & PI,Statistical Officer,3,B.Tech,2025-04-14
4,Mukesh Reddy,mukesh.reddy13@gov.in,employee,NITI Aayog,Director,23,B.Sc,2025-05-09
5,Harish Pillai,harish.pillai45@gov.in,employee,Ministry of Statistics & PI,Deputy Director,23,B.Sc,2024-09-06
6,Geeta Patel,geeta.patel37@gov.in,employee,CRS,Senior Statistical Officer,3,B.Sc,2026-01-17
7,Ramesh Agarwal,ramesh.agarwal87@gov.in,employee,MOSPI Field Operations,Statistical Officer,24,M.Sc,2023-08-01
8,Kavita Saxena,kavita.saxena20@gov.in,employee,NITI Aayog,Joint Director,27,MA Economics,2025-07-06
9,Vikram Sharma,vikram.sharma94@gov.in,employee,CSO,Joint Director,3,B.Tech,2026-01-09
10,Naresh Joshi,naresh.joshi68@gov.in,employee,CRS,Deputy Director,12,MA Economics,2025-05-31
11,Geeta Singh,geeta.singh87@gov.in,employee,NSSTA,Statistical Assistant,24,B.Tech,2025-09-03
12,Pushpa Saxena,pushpa.saxena44@gov.in,employee,NITI Aayog,Director,22,MA Economics,2026-04-11
13,Sanjay Sharma,sanjay.sharma50@gov.in,employee,DGET,Joint Director,3,B.Tech,2023-05-30
14,Vinod Mishra,vinod.mishra93@gov.in,employee,Ministry of Finance,Data Analyst,29,M.Sc,2025-10-15
15,Manoj Patel,manoj.patel41@gov.in,employee,NITI Aayog,Statistical Assistant,9,B.Sc,2024-05-08
16,Lata Yadav,lata.yadav27@gov.in,employee,NITI Aayog,Field Investigator,3,B.Stat,2025-12-22
17,Meena Verma,meena.verma97@gov.in,employee,DGET,Deputy CSG,3,B.Sc,2024-06-13
18,Pushpa Shah,pushpa.shah42@gov.in,employee,NITI Aayog,Statistical Officer,22,M.Stat,2023-07-31
19,Geeta Pandey,geeta.pandey24@gov.in,employee,MOSPI Field Operations,Data Analyst,6,M.Sc,2026-07-28
20,Manoj Shah,manoj.shah32@gov.in,employee,NITI Aayog,Senior Statistical Officer,28,M.Tech,2023-09-29
21,Deepak Patel,deepak.patel57@gov.in,employee,NSSTA,Statistical Assistant,25,B.Stat,2024-10-09
22,Radha Kumar,radha.kumar24@gov.in,employee,CRS,Joint Director,8,B.Stat,2025-03-28
23,Anita Singh,anita.singh72@gov.in,employee,National Statistical Office,Statistical Assistant,25,MBA,2025-11-14
24,Girish Nair,girish.nair31@gov.in,employee,MOSPI Field Operations,Statistical Assistant,28,B.Sc,2025-05-27
25,Rajiv Mishra,rajiv.mishra49@gov.in,employee,DGET,Assistant Director,15,M.Sc,2025-11-29
26,Rekha Yadav,rekha.yadav18@gov.in,employee,CRS,Statistical Officer,19,B.Tech,2025-05-09
27,Rajesh Singh,rajesh.singh90@gov.in,employee,Ministry of Statistics & PI,Director,3,B.Stat,2024-09-26
28,Vikram Shah,vikram.shah40@gov.in,employee,MOSPI Field Operations,Field Investigator,7,MBA,2023-05-22
29,Girish Yadav,girish.yadav70@gov.in,employee,DGET,Director,4,M.Stat,2024-03-04
30,Ramesh Srivastava,ramesh.srivastava62@gov.in,employee,Ministry of Finance,Statistical Officer,22,M.Stat,2026-04-01
31,Shobha Pandey,shobha.pandey23@gov.in,employee,CSO,Director,7,M.Sc,2025-10-20
32,Asha Verma,asha.verma45@gov.in,employee,Ministry of Finance,Director,28,M.Stat,2024-02-08
33,Suresh Sharma,suresh.sharma93@gov.in,employee,NITI Aayog,Statistical Officer,3,B.Tech,2025-08-28
34,Dinesh Mehta,dinesh.mehta71@gov.in,employee,CSO,Data Analyst,29,B.Stat,2025-08-31
35,Naresh Kumar,naresh.kumar59@gov.in,employee,MOSPI Field Operations,Field Investigator,10,B.Sc,2023-06-22
36,Radha Patel,radha.patel34@gov.in,employee,MOSPI Field Operations,Director,2,B.Stat,2024-10-30
